division= {
	name = "18. Panzer-Grenadier-Division"
	location = 2262
	leader = 810  # von Ermannsdorf
	regiment = { type = GER_XVIII_PzGrD name = "Stab 18. Panzer-Grenadier-Division" historical_model = 0 experience = 75 strength = 25 organisation = 5 }
	regiment = { type = mechanized_brigade name = "Gren.-Rgt. 30/51" historical_model = 1 experience = 75 strength = 25 organisation = 5 }
	regiment = { type = assault_gun_brigade name = "Pz.-Abt 118" historical_model = 4 strength = 25 organisation = 5 }
	regiment = { type = medium_tank_destroyer_brigade name = "Panzerjäger-Abt. 18" historical_model = 1 experience = 75 strength = 25 organisation = 5 }
	regiment = { type = artillery_brigade name = "Art.-Rgt. 18" historical_model = 2 experience = 75 strength = 25 organisation = 5 }
	regiment = { type = armored_engineers_brigade  name = "Pionier-Bat. 18" historical_model = 1 experience = 65 strength = 25 organisation = 5 }
	regiment = { type = GER_hftrack_transport name = "Gefechtstross-Bat.(Pzgren) 18" historical_model = 10 experience = 65 strength = 25 organisation = 5 }
}
#EOF#
