division= {
	name = "§Y7. Panzer Division 'Gespenst'§W" # uses Pz 38(t)
	location = 2320
	leader = 261 #General der Kavallerie Georg Stumme 
	is_reserve = yes
	is_prioritized = yes
	regiment = { type = GER_VII_PzD name = "Stab 7. Panzer-Division 'Gespenst'" historical_model = 0 experience = 65 strength = 50 organisation = 30 }
	regiment = { type = GER_pzthirtyeight_rgt name = "Pz.-Rgt. 25" historical_model = 0 experience = 25 strength = 25 organisation = 10 }
	regiment = { type = motorized_brigade name = "Schtz.-Rgt. 6/7" historical_model = 2 experience = 65 organisation = 30 }
	regiment = { type = tank_destroyer_brigade name = "PzJgd.-Abt. 42" historical_model = 3 experience = 25 strength = 10 organisation = 10 }
	regiment = { type = light_armor_bat name = "Panzer-Abt. 66" historical_model = 3 experience = 65 organisation = 30 }
	regiment = { type = artillery_brigade name = "Art.-Rgt. 78(mot)" historical_model = 1 experience = 65 organisation = 30 }
	regiment = { type = GER_truck_transport name = "Gefechtstross-Bat.(Pz) 29" historical_model = 7 experience = 65 organisation = 30 }
}
#EOF#
