division = {
	name = "6ya Tankovy Korpus"
	location = 790 #Vologda
	leader = 9942  # A.L. Getman
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 6th Tank Corps" historical_model = 0 experience = 45 }
	regiment = { type = armor_brigade name = "22nd/100/200th Tank Brigades" historical_model = 6 experience = 45 }
	regiment = { type = motorized_infantry_bat name = "6th Motorised Rifle Brigade" historical_model = 3 experience = 45 }
	regiment = { type = assault_gun_brigade name = "Assault Gun Regiment 6th Tank Corps" historical_model = 4 experience = 45 }
	regiment = { type = sp_artillery_brigade name = "1481st Self-propelled Artillery Reg." historical_model = 4 experience = 45 }
	regiment = { type = heavy_anti_tank_brigade name = "538/1008th AT-Artillery Regiments" historical_model = 4 experience = 45 }
	regiment = { type = truck_transport name = "Transport-Bat. 6th Tank Corps" historical_model = 0 experience = 45 }
}
