division= {
	name = "§Y4. Panzer-Division§W"
	location = 2434
	leader = 224 # Reinhardt G.
	regiment = { type = GER_IV_PzD name = "Stab 4. Panzer-Division" historical_model = 0 experience = 10 strength = 1 organisation = 5 }
	regiment = { type = light_armor_brigade name = "Pz.-Rgt. 35" historical_model = 3 experience = 1 strength = 1 organisation = 5 }
	regiment = { type = light_armor_brigade name = "Pz.-Rgt. 36" historical_model = 3 experience = 1 strength = 1 organisation = 5 }
	regiment = { type = motorized_infantry_bat name = "Schtz.-Bat. 12" historical_model = 4 experience = 1 strength = 1 organisation = 5 }
	regiment = { type = artillery_brigade name = "Art.-Rgt. 103" historical_model = 3 experience = 1 strength = 1 organisation = 5 }
	regiment = { type = motorized_engineer_brigade name = "Pionier-Bat. 79" historical_model = 4 experience = 1 strength = 1 organisation = 5 }
	regiment = { type = GER_light_transport name = "Gefechtstross-Bat.(Pz) 79" historical_model = 6 experience = 1 strength = 1 organisation = 5 }
}
#EOF#
