	BB_Richelieu = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
	BB_Jean_Bart = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
	BB_Missouri = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
	BB_Iowa = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Arizona = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Arkansas = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Barham = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Bismarck = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Bretagne = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Caio_Duilio = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Colorado = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Conte_di_Cavour = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Courbet = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Duke_of_York = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Fuso = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Giulio_Cesare = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Gneisenau = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Howe = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Hyuga = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Idaho = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Ise = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_King_George_V = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Littorio = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Lorraine = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Malaya = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Maryland = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Mississippi = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Mutsu = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Nagato = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Nelson = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Nevada = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_New_Mexico = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_New_York = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Ocean = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Oklahoma = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Paris = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Pennsylvania = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Prince_of_Wales = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Provence = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Queen_elizabeth = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Ramillies = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Resolution = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Revenge = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Rodney = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Royal_Oak = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Royal_sovereign = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Scharnhorst = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Tennessee = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Texas = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Tirpitz = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
