#1st Armored Division, created on January 27th, 1941
#Transfered to the Cavalry Corps on July 2nd, 1941

division = {
	name = "Divizia 1 Blindata"
	location = 3917 #Bucarest
	leader = 4607 #Sion, Alecu Ioan
	regiment = { type = division_hq_standard name = "Cartier Diviziei 1 Blindata" historical_model = 0 experience = 30 }
	regiment = { type = captured_armor_brigade name = "Regiment 1 Care de Lupta" historical_model = 4 experience = 30 }
	regiment = { type = motorized_brigade name = "Rgt. 3/4 Vanaotori Moto" historical_model = 3 experience = 30 }
	regiment = { type = medium_artillery_brigade name = "Regiment 1 Artilerie Moto" historical_model = 2 experience = 30 }
	regiment = { type = motorized_engineer_brigade name = "Bat. Pioneri Moto" historical_model = 2 experience = 30 }
	regiment = { type = armored_car_brigade name = "Grup de Cercetare" historical_model = 3 experience = 30 }
	regiment = { type = truck_transport name = "Companie Transport Diviziei 1 Blindata" historical_model = 7 }
}
