EVTDESC400044;With the technology levels of heavy cruiser armament, engine and armour at level 4 (1942) the Pocket Battleship became obsolete and the design was stricking of every navies designlist. Thus ending up not buildable anymore;;;;;;;;;;;;;x
Austrian_Divisions.txt; Inherit the reformed Austrian Divisions ;;;;;;;;;;;;x
battle_commander_GER_IV.txt; Battlecommander Gunther von Kluge ;;;;;;;;;;;;x
Dunkirk_Evacuation_Decision_title;Dunkirk evacuation ;;;;;;;;;;;;x
Dunkirk_Evacuation_Decision_desc;This will trigger the evacuation of Dunkrik by civilian ships from Prothsmouth ;;;;;;;;;;;;x
Dunkirk_Abandoned_Equipment_Decision_title;Abandoned equipment ;;;;;;;;;;;;x
Dunkirk_Abandoned_Equipment_Decision_desc;The allied forces were forced to abandone lots of equipment which later were used by the Germans ;;;;;;;;;;;;x
Dunkirk_Fleet.txt;\n - Civilian ship owners rise answer the call in Portsmouth! -\n;;;;;;;;;;;;x
Dunkirk_Abandoned_Equipment.txt;\n - Allied forces abandon their vehicles and equipment on the beaches of Dunkirk! -\n;;;;;;;;;;;;x
Dunkirk_Evacuees.txt;\n - Tattered Remnants of Allied Forces Need Rescuing in Dunkirk! -\n;;;;;;;;;;;;x
veteran_militia.txt;\n - Tattered Remnants of Your Exped. Forces are in the Build Queue! -\n;;;;;;;;;;;;x
EVTDESC1003; By the Latvian–Soviet Peace Treaty of 1920, a part of Ostrovsky Uyezd, including Pytalovo, was passed to Latvia. In 1925, Latvians renamed it Jaunlatgale, which it was known as until 1938, when the name was changed to Abrene. In 1933, it was granted town status. During the interwar period, it was the administrative center of Abrene District. After the annexation of Latvia by the Soviet Union in 1940, the town originally remained a part of the Latvian SSR. During World War II, the town was occupied by the German Army from July 5, 1941 until July 22, 1944. On January 16, 1945, the town and the surrounding areas were transferred to Pskov Oblast of the Russian SFSR and Pytalovsky District was established. At the same time, the town's original name (Pytalovo) was restored.;;;;;;;;;;;;x
###EOF###;;;;;;;;;;;;;x
