#MODEL_TAG;ENGLISH;;;;;;;;;;;;;x
# Technology model names #;;;;;;;;;;;;;;x
### Carriers ( CV ) ###;;;;;;;;;;;;;;x
### Unique Carrier ( CV ) ###;;;;;;;;;;;;;;x
CV_Akagi;IJN Akagi;;;;;;;;;;;;;x
CV_Akagi_short;AKA;;;;;;;;;;;;;x
CV_Kaga;IJN Kaga;;;;;;;;;;;;;x
CV_Kaga_short;KAG;;;;;;;;;;;;;x
CV_Hiryu;IJN Hiryu;;;;;;;;;;;;;x
CV_Hiryu_short;HIR;;;;;;;;;;;;;x
CV_Soryu;IJN Soryu;;;;;;;;;;;;;x
CV_Soryu_short;SOR;;;;;;;;;;;;;x
### Light carriers ( CVL ) ###;;;;;;;;;;;;;;x
### Escort carrier ( CVE ) ###;;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;;x
### Super heavy Battleships ( SHBB ) ###;;;;;;;;;;;;;;x
SBB_Yamato;IJN Yamato;;;;;;;;;;;;;x
SBB_Yamato_short;YAM;;;;;;;;;;;;;x
SBB_Musashi;IJN Musashi;;;;;;;;;;;;;x
SBB_Musashi_short;MUS;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;;x
### Battleships ( BB ) ###;;;;;;;;;;;;;;x
BB_Fuso;IJN Fuso;;;;;;;;;;;;;x
BB_Fuso_short;FUS;;;;;;;;;;;;;x
BB_Hyuga;IJN Hyuga;;;;;;;;;;;;;x
BB_Hyuga_short;HYU;;;;;;;;;;;;;x
BB_Ise;IJN Ise;;;;;;;;;;;;;x
BB_Ise_short;ISE;;;;;;;;;;;;;x
BB_Yamashiro;IJN Yamashiro;;;;;;;;;;;;;x
BB_Yamashiro_short;YAS;;;;;;;;;;;;;x
BB_Mutsu;IJN Mutsu;;;;;;;;;;;;;x
BB_Mutsu_short;MUT;;;;;;;;;;;;;x
BB_Nagato;IJN Nagato;;;;;;;;;;;;;x
BB_Nagato_short;NAG;;;;;;;;;;;;;x
### Battlecruisers ( BC ) ###;;;;;;;;;;;;;;x
BC_Haruna;IJN Haruna;;;;;;;;;;;;;x
BC_Haruna_short;HAR;;;;;;;;;;;;;x
BC_Hiei;IJN Hiei;;;;;;;;;;;;;x
BC_Hiei_short;HIE;;;;;;;;;;;;;x
BC_Kirishima;IJN Kirishima;;;;;;;;;;;;;x
BC_Kirishima_short;KIR;;;;;;;;;;;;;x
BC_Kongo;IJN Kongo;;;;;;;;;;;;;x
BC_Kongo_short;KON;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_super_heavy_battleship_0;A-140-class;;;;;;;;;;;;;x
JAP_super_heavy_battleship_1;Yamato-class;;;;;;;;;;;;;x
JAP_super_heavy_battleship_2;A-150-class;;;;;;;;;;;;;x
JAP_super_heavy_battleship_3;A-200-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_battleship_0;Kawachi-class;;;;;;;;;;;;;x
JAP_battleship_1;Fuso-class;;;;;;;;;;;;;x
JAP_battleship_2;Ise-class;;;;;;;;;;;;;x
JAP_battleship_3;Nagato-class;;;;;;;;;;;;;x
JAP_battleship_4;Tosa-class;;;;;;;;;;;;;x
JAP_battleship_5;Ersatz Kongo-class;;;;;;;;;;;;;x
JAP_command_battleship_0;Kawachi-class;;;;;;;;;;;;;x
JAP_command_battleship_1;Fuso-class;;;;;;;;;;;;;x
JAP_command_battleship_2;Ise-class;;;;;;;;;;;;;x
JAP_command_battleship_3;Nagato-class;;;;;;;;;;;;;x
JAP_command_battleship_4;Tosa-class;;;;;;;;;;;;;x
JAP_command_battleship_5;Ersatz Kongo-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_pocket_battleship_0;Chichibu-class;;;;;;;;;;;;;x
JAP_pocket_battleship_1;Chichibu-class;;;;;;;;;;;;;x
JAP_pocket_battleship_2;Chichibu-class;;;;;;;;;;;;;x
JAP_pocket_battleship_3;Kadekuru-class;;;;;;;;;;;;;x
JAP_pocket_battleship_4;Kadekuru-class;;;;;;;;;;;;;x
JAP_pocket_battleship_5;Kadekuru-class;;;;;;;;;;;;;x
JAP_pocket_battleship_6;Kadekuru-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_battlecruiser_0;Kasuga-class;;;;;;;;;;;;;x
JAP_battlecruiser_1;Tsukuba-class;;;;;;;;;;;;;x
JAP_battlecruiser_2;Ibuki-class;;;;;;;;;;;;;x
JAP_battlecruiser_3;Kongo-class;;;;;;;;;;;;;x
JAP_battlecruiser_4;Amagi-class;;;;;;;;;;;;;x
JAP_battlecruiser_5;Kii-class;;;;;;;;;;;;;x
JAP_battlecruiser_6;Design B-65-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_heavy_cruiser_0;Yakumo-class;;;;;;;;;;x
JAP_heavy_cruiser_1;Furutaka-class;;;;;;;;;;x
JAP_heavy_cruiser_2;Myoko/Aoba-class;;;;;;;;;;x
JAP_heavy_cruiser_3;Takao-class;;;;;;;;;;x
JAP_heavy_cruiser_4;Mogami-class;;;;;;;;;;x
JAP_heavy_cruiser_5;Tone-class;;;;;;;;;;x
JAP_heavy_cruiser_6;Ibuki-class;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_light_cruiser_0;Chikuma-class;;;;;;;;;;;;;x
