## Romania Decisions and Events Descriptions ##;;;;;;;;;;;;;;x
###############################################;;;;;;;;;;;;;;x
###############################################;;;;;;;;;;;;;;x
Romania_Historical_decision_title;Romanian historical units.;;;;;;;;;;;;;;x
Romania_Historical_decision_desc;This decision will give you access to Romanian historical units and upgrades.;;;;;;;;;;;;;;x
EVTDESC15000;You will have access here to all army and airforce historical units formed by Romania from 1936 to 1945. Purchased equipment like tanks and airplanes will cost you money and supplies, while directly produced and equipped units on Romanian soil will came at the cost of ressources and IC penalties.;;;;;;;;;;;;;;x
1GD_decision_title;1st Guard Division.;;;;;;;;;;;;;;x
1GD_decision_desc;This decision will give you access to an elite infantry unit.;;;;;;;;;;;;;;x
EVTDESC15001;The 1st Guard Division, Divizia 1 Garda, was raised on June 1940 from former Guard elements stationned in Bucharest. Its first commander was General Paul Teodorescu. The Guard Division had the same structure as an infantry one, but it also had protocol duties. The selection for this elite unit was very strict. All the soldiers had to be educated, had to have a very good physical condition and were subjected to more intensive training.\nIt participated in the Romanian offensive to retake Bessarabia, entered Odessa in October 1941 before being withdrawn to Romania where it stayed in reserve until 1940.\nThe Guard Division returned on the frontline on March 1944 and was eventually almost destroyed in the summer combats against advancing soviet troops. Only a few units were able to reach Bucharest in September 1944.\n\nThe Division was remobilised in Spring 1945, this time to fight against the Axis forces. It was sent to Brno but didn't participated in military actions.;;;;;;;;;;;;;;x
MBD_decision_title;Mixed Border Detachment.;;;;;;;;;;;;;;x
MBD_decision_desc;This decision will start the process of formation of an elite division.;;;;;;;;;;;;;;x
EVTDESC15002;The Mixed Border Detachment, Detasamentul Mixt Graniceresc, was set up on February 15th, 1940 from the 1st and 2nd Border Guards Battalions, troops from Infantry Regiments and newly created 70th Artillery Regiment. It was assigned to the Ploesti Oilfields to perform security tasks.\nA few monthes later, the Detachment was renamed 2nd Guard Division.;;;;;;;;;;;;;;x
2GD_decision_title;2nd Guard Division.;;;;;;;;;;;;;;x
2GD_decision_desc;This decision will give you access to an elite infantry unit.;;;;;;;;;;;;;;x
