MODEL_TAG;Model;Modèle;Model;;Modelo;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_engineer_brigade_0;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
JAP_engineer_brigade_1;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
JAP_engineer_brigade_2;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
JAP_engineer_brigade_3;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
JAP_engineer_brigade_4;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
JAP_engineer_brigade_5;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
JAP_engineer_brigade_6;Shisetsu (I);Shisetsu (I);Shisetsu (I);Shisetsu (I);;;;;;;;;;x
#;;;;;;;;;;;;;;x
ENG_marine_brigade_0;Royal Marines (I);Royal Marines (I);Royal Marines (I);Royal Marines (I);;;;;;;;;;x
ENG_marine_brigade_1;Royal Marines (II);Royal Marines (II);Royal Marines (II);Royal Marines (II);;;;;;;;;;x
ENG_marine_brigade_2;Royal Marines (III);Royal Marines (III);Royal Marines (III);Royal Marines (III);;;;;;;;;;x
ENG_marine_brigade_3;Royal Marines (IV);Royal Marines (IV);Royal Marines (IV);Royal Marines (IV);;;;;;;;;;x
ENG_marine_brigade_4;Royal Marines (V);Royal Marines (V);Royal Marines (V);Royal Marines (V);;;;;;;;;;x
ENG_marine_brigade_5;Royal Marines (VI);Royal Marines (VI);Royal Marines (VI);Royal Marines (VI);;;;;;;;;;x
ENG_marine_brigade_6;Royal Marines (VII);Royal Marines (VII);Royal Marines (VII);Royal Marines (VII);;;;;;;;;;x
ENG_marine_brigade_7;Royal Marines (VIII);Royal Marines (VIII);Royal Marines (VIII);Royal Marines (VIII);;;;;;;;;;x
ENG_marine_brigade_8;Royal Marines (IX);Royal Marines (IX);Royal Marines (IX);Royal Marines (IX);;;;;;;;;;x
ENG_marine_brigade_9;Royal Marines (X);Royal Marines (X);Royal Marines (X);Royal Marines (X);;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_marine_brigade_0;USMC (I);USMC (I);USMC (I);USMC (I);;;;;;;;;;x
USA_marine_brigade_1;USMC (II);USMC (II);USMC (II);USMC (II);;;;;;;;;;x
USA_marine_brigade_2;USMC (III);USMC (III);USMC (III);USMC (III);;;;;;;;;;x
USA_marine_brigade_3;USMC (IV);USMC (IV);USMC (IV);USMC (IV);;;;;;;;;;x
USA_marine_brigade_4;USMC (V);USMC (V);USMC (V);USMC (V);;;;;;;;;;x
USA_marine_brigade_5;USMC (VI);USMC (VI);USMC (VI);USMC (VI);;;;;;;;;;x
USA_marine_brigade_6;USMC (VII);USMC (VII);USMC (VII);USMC (VII);;;;;;;;;;x
USA_marine_brigade_7;USMC (VIII);USMC (VIII);USMC (VIII);USMC (VIII);;;;;;;;;;x
USA_marine_brigade_8;USMC (IX);USMC (IX);USMC (IX);USMC (IX);;;;;;;;;;x
USA_marine_brigade_9;USMC (X);USMC (X);USMC (X);USMC (X);;;;;;;;;;x
#;;;;;;;;;;;;;;x
USA_elite_marine_brigade_0;USMC-Prewar(I);USMC-Prewar(I);USMC-Prewar(I);USMC-Prewar(I);;;;;;;;;;x
USA_elite_marine_brigade_1;USMC-Prewar(II);USMC-Prewar(II);USMC-Prewar(II);USMC-Prewar(II);;;;;;;;;;x
USA_elite_marine_brigade_2;USMC-Prewar(III);USMC-Prewar(III);USMC-Prewar(III);USMC-Prewar(III);;;;;;;;;;x
USA_elite_marine_brigade_3;USMC-Earlywar;USMC-Earlywar;USMC-Earlywar;USMC-Earlywar;;;;;;;;;;x
USA_elite_marine_brigade_4;USMC-Earlywar;USMC-Earlywar;USMC-Earlywar;USMC-Earlywar;;;;;;;;;;x
USA_elite_marine_brigade_5;USMC-Earlywar;USMC-Earlywar;USMC-Earlywar;USMC-Earlywar;;;;;;;;;;x
USA_elite_marine_brigade_6;USMC-Midwar;USMC-Midwar;USMC-Midwar;USMC-Midwar;;;;;;;;;;x
USA_elite_marine_brigade_7;USMC-Midwar;USMC-Midwar;USMC-Midwar;USMC-Midwar;;;;;;;;;;x
USA_elite_marine_brigade_8;USMC-Latewar;USMC-Latewar;USMC-Latewar;USMC-Latewar;;;;;;;;;;x
USA_elite_marine_brigade_9;USMC-Latewar;USMC-Latewar;USMC-Latewar;USMC-Latewar;;;;;;;;;;x
#;;;;;;;;;;;;;;x
JAP_elite_marine_brigade_0;SNLF-1;SNLF-1;SNLF-1;SNLF-1;;;;;;;;;;x
JAP_elite_marine_brigade_1;SNLF-2;SNLF-2;SNLF-2;SNLF-2;;;;;;;;;;x
JAP_elite_marine_brigade_2;SNLF-3;SNLF-3;SNLF-3;SNLF-3;;;;;;;;;;x
JAP_elite_marine_brigade_3;SNLF-4;SNLF-4;SNLF-4;SNLF-4;;;;;;;;;;x
JAP_elite_marine_brigade_4;SNLF-5;SNLF-5;SNLF-5;SNLF-5;;;;;;;;;;x
JAP_elite_marine_brigade_5;SNLF-6;SNLF-6;SNLF-6;SNLF-6;;;;;;;;;;x
JAP_elite_marine_brigade_6;SNLF-7;SNLF-7;SNLF-7;SNLF-7;;;;;;;;;;x
JAP_elite_marine_brigade_7;SNLF-8;SNLF-8;SNLF-8;SNLF-8;;;;;;;;;;x
JAP_elite_marine_brigade_8;SNLF-9;SNLF-9;SNLF-9;SNLF-9;;;;;;;;;;x
JAP_elite_marine_brigade_9;SNLF-10;SNLF-10;SNLF-10;SNLF-10;;;;;;;;;;x
#;;;;;;;;;;;;;;x
SOV_fallschirm_brigade_0;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_1;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_2;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_3;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_4;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_5;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_6;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
SOV_fallschirm_brigade_7;Guard Paratroopers;Guard Paratroopers;Garde Fallschirmjäger;Guard Paratroopers;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#SOV_marine_brigade_0;Morskaya Pekhota '18;Morskaya Pekhota '18;Morskaya Pekhota '18;Morskaya Pekhota '18;;;;;;;;;;x
#SOV_marine_brigade_1;Morskaya Pekhota '30;Morskaya Pekhota '30;Morskaya Pekhota '30;Morskaya Pekhota '30;;;;;;;;;;x
#SOV_marine_brigade_2;Morskaya Pekhota '34;Morskaya Pekhota '34;Morskaya Pekhota '34;Morskaya Pekhota '34;;;;;;;;;;x
#SOV_marine_brigade_3;Morskaya Pekhota '36;Morskaya Pekhota '36;Morskaya Pekhota '36;Morskaya Pekhota '36;;;;;;;;;;x
#SOV_marine_brigade_4;Morskaya Pekhota '38;Morskaya Pekhota '38;Morskaya Pekhota '38;Morskaya Pekhota '38;;;;;;;;;;x
#SOV_marine_brigade_5;Morskaya Pekhota '40;Morskaya Pekhota '40;Morskaya Pekhota '40;Morskaya Pekhota '40;;;;;;;;;;x
#SOV_marine_brigade_6;Morskaya Pekhota '42;Morskaya Pekhota '42;Morskaya Pekhota '42;Morskaya Pekhota '42;;;;;;;;;;x
#SOV_marine_brigade_7;Morskaya Pekhota '44;Morskaya Pekhota '44;Morskaya Pekhota '44;Morskaya Pekhota '44;;;;;;;;;;x
#SOV_marine_brigade_8;Morskaya Pekhota '46;Morskaya Pekhota '46;Morskaya Pekhota '46;Morskaya Pekhota '46;;;;;;;;;;x
#SOV_marine_brigade_9;Morskaya Pekhota '48;Morskaya Pekhota '48;Morskaya Pekhota '48;Morskaya Pekhota '48;;;;;;;;;;x
#;;;;;;;;;;;;;;x
SPA_infantry_brigade_0;Nationalist Infantry;;Nationalistische Infanterie;Nacjonalistyczna Piechota;;;;;;;;;;x
SPA_infantry_brigade_1;Nationalist Infantry;;Nationalistische Infanterie;Nacjonalistyczna Piechota;;;;;;;;;;x
SPA_infantry_brigade_2;Nationalist Infantry;;Nationalistische Infanterie;Nacjonalistyczna Piechota;;;;;;;;;;x
SPA_infantry_brigade_3;Nationalist Infantry;;Nationalistische Infanterie;Nacjonalistyczna Piechota;;;;;;;;;;x
SPA_infantry_brigade_4;Nationalist Infantry;;Nationalistische Infanterie;Nacjonalistyczna Piechota;;;;;;;;;;x
SPA_infantry_brigade_5;Nationalist Infantry;;Nationalistische Infanterie;Nacjonalistyczna Piechota;;;;;;;;;;x
#;;;;;;;;;;;;;;x
SPA_militia_brigade_0;Carlist 'Requetes' (I);Carlist 'Requetes' (I);Carlist 'Requetes' (I);Carlist 'Requetes' (I);;;;;;;;;;x
SPA_militia_brigade_1;Carlist 'Requetes' (II);Carlist 'Requetes' (II);Carlist 'Requetes' (II);Carlist 'Requetes' (II);;;;;;;;;;x
SPA_militia_brigade_2;Carlist 'Requetes' (III);Carlist 'Requetes' (III);Carlist 'Requetes' (III);Carlist 'Requetes' (III);;;;;;;;;;x
SPA_militia_brigade_3;Carlist 'Requetes' (IV);Carlist 'Requetes' (IV);Carlist 'Requetes' (IV);Carlist 'Requetes' (IV);;;;;;;;;;x
SPA_militia_brigade_4;Carlist 'Requetes' (V);Carlist 'Requetes' (V);Carlist 'Requetes' (V);Carlist 'Requetes' (V);;;;;;;;;;x
SPA_militia_brigade_5;Carlist 'Requetes' (VI);Carlist 'Requetes' (VI);Carlist 'Requetes' (VI);Carlist 'Requetes' (VI);;;;;;;;;;x
SPA_militia_brigade_6;Carlist 'Requetes' (VII);Carlist 'Requetes' (VII);Carlist 'Requetes' (VII);Carlist 'Requetes' (VII);;;;;;;;;;x
SPA_militia_brigade_7;Carlist 'Requetes' (VIII);Carlist 'Requetes' (VIII);Carlist 'Requetes' (VIII);Carlist 'Requetes' (VIII);;;;;;;;;;x
SPA_militia_brigade_8;Carlist 'Requetes' (IX);Carlist 'Requetes' (IX);Carlist 'Requetes' (IX);Carlist 'Requetes' (IX);;;;;;;;;;x
SPA_militia_brigade_9;Carlist 'Requetes' (X);Carlist 'Requetes' (X);Carlist 'Requetes' (X);Carlist 'Requetes' (X);;;;;;;;;;x
#;;;;;;;;;;;;;;x
ITA_paratrooper_brigade_0;Paracadutisti (I);Paracadutisti (I);Paracadutisti (I);Paracadutisti '18;;;;;;;;;;x
ITA_paratrooper_brigade_1;Paracadutisti (II);Paracadutisti (II);Paracadutisti (II);Paracadutisti '36;;;;;;;;;;x
ITA_paratrooper_brigade_2;Paracadutisti (III);Paracadutisti (III);Paracadutisti (III);Paracadutisti '38;;;;;;;;;;x
ITA_paratrooper_brigade_3;Paracadutisti (IV);Paracadutisti (IV);Paracadutisti (IV);Paracadutisti '40;;;;;;;;;;x
ITA_paratrooper_brigade_4;Paracadutisti (V);Paracadutisti (V);Paracadutisti (V);Paracadutisti '42;;;;;;;;;;x
ITA_paratrooper_brigade_5;Paracadutisti (VI);Paracadutisti (VI);Paracadutisti (VI);Paracadutisti '44;;;;;;;;;;x
ITA_paratrooper_brigade_6;Paracadutisti (VII);Paracadutisti (VII);Paracadutisti (VII);Paracadutisti '46;;;;;;;;;;x
ITA_paratrooper_brigade_7;Paracadutisti (VIII);Paracadutisti (VIII);Paracadutisti (VIII);Paracadutisti '48;;;;;;;;;;x
ITA_paratrooper_brigade_8;Paracadutisti (IX);Paracadutisti (IX);Paracadutisti (IX);Paracadutisti (IX);;;;;;;;;;x
#EOF;;;;;;;;;;;;;;x
