FRA_battleship_0;Courbet-class;;;;;;;;;;;;;x
FRA_battleship_1;Bretagne-class;;;;;;;;;;;;;x
FRA_battleship_2;Lyon-class;;;;;;;;;;;;;x
FRA_battleship_3;Normandie-class;;;;;;;;;;;;;x
FRA_battleship_4;Richelieu-class;;;;;;;;;;;;;x
FRA_battleship_5;Alsace-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_command_battleship_0;Courbet-class;;;;;;;;;;;;;x
FRA_command_battleship_1;Bretagne-class;;;;;;;;;;;;;x
FRA_command_battleship_2;Lyon-class;;;;;;;;;;;;;x
FRA_command_battleship_3;Normandie-class;;;;;;;;;;;;;x
FRA_command_battleship_4;Richelieu-class;;;;;;;;;;;;;x
FRA_command_battleship_5;Alsace-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_battlecruiser_0;Meh-class;;;;;;;;;;;;;x
FRA_battlecruiser_1;Gille-class;;;;;;;;;;;;;x
FRA_battlecruiser_2;Gille-class;;;;;;;;;;;;;x
FRA_battlecruiser_3;Durand Viel-class;;;;;;;;;;;;;x
FRA_battlecruiser_4;Dunkerque-class;;;;;;;;;;;;;x
FRA_battlecruiser_5;Projekt 28-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_heavy_cruiser_0;Ernest Renan-class;;;;;;;;;;;;;x
FRA_heavy_cruiser_1;Duquesne-class;;;;;;;;;;;;;x
FRA_heavy_cruiser_2;Suffren-class;;;;;;;;;;;;;x
FRA_heavy_cruiser_3;Algerie-class;;;;;;;;;;;;;x
FRA_heavy_cruiser_4;Saint Louis-class C5 A3;;;;;;;;;;;;;x
FRA_heavy_cruiser_5;Saint Louis-class C5 SA1;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_light_cruiser_0;Duguay-Trouin-class;;;;;;;;;;;;;x
FRA_light_cruiser_1;Jeanne d'Arc-class;;;;;;;;;;;;;x
FRA_light_cruiser_2;Emile Bertin-class;;;;;;;;;;;;;x
FRA_light_cruiser_3;La Galissonniere-class;;;;;;;;;;;;;x
FRA_light_cruiser_4;De Grasse-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_grand_destroyer_actual_0;Jaguar-class;;;;;;;;;;;;;x
FRA_grand_destroyer_actual_1;Guepard-class;;;;;;;;;;;;;x
