###########################################################;;;;;;;;;;;;;x
destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
destroyer_technology_1;1918 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_technology_2;1930 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_technology_3;1932 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_technology_4;1934 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_0;;;;;;;;;;;;;;x
destroyer_class_1;1936 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_2;1938 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_3;1940 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_4;1942 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_5;1944 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_6;1946 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_7;1948 Destroyer Blueprint;;;;;;;;;;;;;x
destroyer_class_8;1950 Destroyer Blueprint;;;;;;;;;;;;;x
frigate_class_0;;;;;;;;;;;;;;x
frigate_class_1;1939 Frigate Blueprint;;;;;;;;;;;;;x
frigate_class_2;1940 Frigate Blueprint;;;;;;;;;;;;;x
frigate_class_3;1942 Frigate Blueprint;;;;;;;;;;;;;x
frigate_class_4;1944 Frigate Blueprint;;;;;;;;;;;;;x
frigate_class_5;1946 Frigate Blueprint;;;;;;;;;;;;;x
frigate_class_6;1948 Frigate Blueprint;;;;;;;;;;;;;x
frigate_class_7;1950 Frigate Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_0;;;;;;;;;;;;;;x
torpedo_boat_class_1;1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_2;1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_3;1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_4;1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_5;1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_6;1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_7;1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_8;1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_9;1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_10;1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
torpedo_boat_class_11;1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
motor_torpedo_boat_class_1;1918 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_2;1932 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_3;1934 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_4;1936 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_5;1938 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_6;1940 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_7;1942 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_8;1944 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_9;1946 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_10;1948 MTB Blueprint;;;;;;;;;;;;;x
motor_torpedo_boat_class_11;1950 MTB Blueprint;;;;;;;;;;;;;x
light_naval_guns_0;;;;;;;;;;;;;;;x
light_naval_guns_1;115mm/45 Model 1918;;;;;;;;;;;;;x
light_naval_guns_2;115mm/45 Model 1926;;;;;;;;;;;;;x
light_naval_guns_3;115mm/45 Model 1926;;;;;;;;;;;;;x
light_naval_guns_4;115mm/50 Model 1931;;;;;;;;;;;;;x
light_naval_guns_5;127mm/50 Model 1931;;;;;;;;;;;;;x
light_naval_guns_6;127mm/50 Model 1936;;;;;;;;;;;;;x
light_naval_guns_7;127mm/50 Model 1936;;;;;;;;;;;;;x
light_naval_guns_8;135mm/45 Model 1938;;;;;;;;;;;;;x
light_naval_guns_9;135mm/45 Model 1938;;;;;;;;;;;;;x
light_naval_guns_10;135mm/50 Model 1946;;;;;;;;;;;;;x
light_naval_guns_11;135mm/50 Model 1946;;;;;;;;;;;;;x
light_warship_engine_0;;;;;;;;;;;;;;;x
light_warship_engine_1;27.000 shp;;;;;;;;;;;;;;x
light_warship_engine_2;42.800 shp;;;;;;;;;;;;;;x
light_warship_engine_3;49.000 shp;;;;;;;;;;;;;;x
light_warship_engine_4;50.000 shp;;;;;;;;;;;;;;x
light_warship_engine_5;52.000 shp;;;;;;;;;;;;;;x
light_warship_engine_6;54.000 shp;;;;;;;;;;;;;;x
light_warship_engine_7;55.000 shp;;;;;;;;;;;;;;x
light_warship_engine_8;60.000 shp;;;;;;;;;;;;;;x
light_warship_engine_9;62.000 shp;;;;;;;;;;;;;;x
light_warship_engine_10;65.000 shp;;;;;;;;;;;;;;x
light_warship_engine_11;100.000 shp;;;;;;;;;;;;;;x
light_warship_engine_12;110.000 shp;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_0;;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_1;3-bladed Bronze, 3.8m / Semi-Balanced Steel 9m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_2;3-bladed Bronze, 3.9m / Semi-Balanced Steel 9.5m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_3;3-bladed Bronze, 3.9-4m / Semi-Balanced Steel 9.5m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_4;3-bladed Mn-Bronze, 4m / Semi-Balanced Steel 10m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_5;4-bladed Bronze, 4.2m / Semi-Balanced Steel 12m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_6;4-bladed Mn-Bronze, 4.4m / Semi-Balanced Steel 14m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_7;4-bladed Bronze, 4.6m / Semi-Balanced Steel 16m2;;;;;;;;;;;;;;x
light_warship_screws_rudder_optimisation_8;4-bladed Bronze, 4.8m / Semi-Balanced Steel 18m2;;;;;;;;;;;;;;x
hydrophone_dev_0;;;;;;;;;;;;;;;x
hydrophone_dev_1;;;;;;;;;;;;;;;x
hydrophone_dev_2;;;;;;;;;;;;;;;x
hydrophone_dev_3;;;;;;;;;;;;;;;x
hydrophone_dev_4;;;;;;;;;;;;;;;x
hydrophone_dev_5;;;;;;;;;;;;;;;x
hydrophone_dev_6;;;;;;;;;;;;;;;x
hydrophone_dev_7;;;;;;;;;;;;;;;x
hydrophone_dev_8;;;;;;;;;;;;;;;x
hydrophone_dev_9;;;;;;;;;;;;;;;x
hydrophone_dev_10;;;;;;;;;;;;;;;x
hydrophone_dev_11;;;;;;;;;;;;;;;x
small_warship_surface_radar_0;;;;;;;;;;;;;;;x
