# Website Unit Descriptions ;;;;;;;;;;;;;;x
infantry_brigade_website_desc;This is the traditional, and baseline, Infantry unit.\n\nInfantry is the branch of an army that fights on foot - Soldiers specifically trained to engage, fight, and defeat the enemy in face-to-face combat, and thus bear the brunt of warfare, and suffer the greatest number of casualties. Historically, as the oldest branch of the combat arms, the infantry are the backbone of a modern army, and continually undergo training that is more physically stressful and psychologically demanding than that of any other branch of the combat arms, or of the army, emphasizing teamwork in the deployment of spontaneous, sustained aggression.;;;;;;;;;;;;;x
airborne_artillery_brigade_website_desc;Airborne guns are airborne artillery pieces, designed for use by paratroopers. They are generally specific or specialised types of infantry support guns, being in the traditional sense capable of being broken down into smaller loads (for transport by aircraft and soldiers).\n\n<span style="color:gold"><strong>TIP:</strong> These units are terrific when combined with main-line special forces units such as paratroopers or airlanding infantry! However, go for other forms of artillery for your non-airborne forces.</span>;;;;;;;;;;;;;x
air_cavalry_brigade_website_desc;Air mobility has been a key concept in offensive operations since the 1930s. Initial approaches to air mobility focused on airborne and glider-borne troops. During World War II many assaults were done by military gliders. Following the war faster aircraft led to the abandonment of the flimsy wooden gliders with the then new helicopters taking their place. Four YR-4B helicopters saw limited service in the China Burma India theatre with the 1st Air Commando Group.\n\nAir assault and air mobility are related concepts. However, air assault is distinctly a combat insertion rather than transportation to an area in the vicinity of combat. Air assault operations are not merely movements of soldiers, weapons, and materiel by Army aviation units and must not be construed as such.;;;;;;;;;;;;;x
air_commando_brigade_website_desc;This is a special commando unit which uses the rocket/kamikaze game mechanics. The unit is removed after its mission, however it has the ability to do a fari amount of damage in its attack. It can take badly damage a port, airfield, AA, factory or infra. Unfortunately forts and Pillboxes cannot be damaged in this way.;;;;;;;;;;;;;x
air_hq_brigade_website_desc;Like all headquarter units, the Air Headquarters plans, directs, controls, and coordinates the operations of subordinate air combat assets, and can manage a mix of fighter, bomber, and support aircraft. It provides command, control, staff planning, and supervision of subordinate units.;;;;;;;;;;;;;x;;;;;;;;;
airlanding_infantry_brigade_website_desc;Much like their sister unit, the paratroopers, air landing troops are capable of parachuting into hostile territory, straight to the action. They can also hitch a ride in gliders.\n\nMissions of air landing troops include seizing and holding, or otherwise exploiting, important tactical localities or installations, in conjunction with or pending the arrival of other military or naval forces. Such missions include seizure and clearance of landing fields, beachheads, strong points, and ports; seizure of essential observation or other critical terrain; severing hostile lines of communication and supply; the destruction of bridges, locks, public utility enterprises, and other designated demolitions; seizure of river crossings, defiles, and other bottlenecks; blocking a hostile counterattack; interrupting the movements of hostile reserves; cooperating in the pursuit or breakthrough by ground forces by operating against enemy reserves and lines of communication, and blocking hostile avenues of retreat - and preventing the enemy from destroying essential installations, supplies, and matériel which might be of use in subsequent operations. It also may includes executing an envelopment from the air in conjunction with an attack by ground forces, execution of surprise attacks as a diversion or feint in connection with other air landing or ground operations, or to create confusion and disorder among the hostile military and civilian personnel. Air landing can also provide an attack against an isolated enemy position, impossible or impracticable of attack by ground forces.;;;;;;;;;;;;;x
alpine_artillery_brigade_website_desc;;;;;;;;;;;;;;x
alpini_brigade_website_desc;;;;;;;;;;;;;;x
alpins_brigade_website_desc;;;;;;;;;;;;;;x
amph_armour_brigade_website_desc;Among tracked armored vehicles with amphibious capabilities include those that are intended for use in amphibious assault. The United States started developing a long line of LVT (Landing Vehicle Tracked) designs from ca. 1940.\n\nMany tracked armored vehicles that are primarily intended for land-use, such as armoured fighting vehicles and armoured personnel carriers nevertheless also have amphibious ability, tactically useful inland, reducing dependence on destroyable and easily-targeted bridges. To provide motive power, they use their tracks, sometimes with added propeller or water jets. As long as the opposite bank has a shallow enough slope for the vehicle to climb out within a few miles, they can cross rivers and water obstacles.\n\n<span style="color:gold"><strong>TIP:</strong> As a battalion-sized element, these won't make good front-line units. Instead, combine them with your Naval Infantry or Marine division to add a little extra firepower for amphibious assaults!</span>;;;;;;;;;;;;;x
anti_air_brigade_website_desc;These are artillery pieces fired from the ground in defense against aerial attack. They were first used in combat in World War I, when field artillery were converted to antiaircraft use by mountings that enabled them to fire nearly vertically. Range finders and searchlights, developed in the 1920s and '30s, increased their effectiveness. Advances in World War II included rapid-firing and automatic weapons, radar for target tracking, and radio-operated fuses.\n\nBritish and U.S. forces used a 40-mm gun that fired ammunition to a height of 2 mi (3.2 km). Heavier guns, up to 120 mm, were used against high-flying bombers. For most of the war, the most effective was the German 88-mm Fliegerabwehrkanone. Its abbreviated name, "flak", became a universal term for antiaircraft fire.;;;;;;;;;;;;;x
anti_air_cruiser_website_desc;The anti-air cruiser is a cruiser-class warship that has been converted for anti-aircraft warfare. The development of the anti-aircraft cruiser began in 1935 when the Royal Navy re-armed HMS Coventry and HMS Curlew. Torpedo tubes and 6-inch (15 cm) low-angle guns were removed from these World War I light cruisers and replaced by ten 4-inch (10 cm) high-angle guns with appropriate fire-control equipment to provide larger warships with protection against high-altitude bombers.\n\nA tactical shortcoming was recognized after completing six additional conversions of C-class cruisers. Having sacrificed anti-ship weapons for anti-aircraft armament, the converted anti-aircraft cruisers might need protection themselves against surface units. New construction was undertaken to create cruisers of similar speed and displacement with dual-purpose guns.;;;;;;;;;;;;;x
anti_tank_brigade_website_desc;Anti-tank warfare arose as a result of the need to develop technology and tactics to destroy tanks during the First World War. Because tanks represent an enemy's greatest force projection (aside from nuclear artillery and tanks vs. tank engagements), anti-tank warfare has been incorporated into the doctrine of nearly every combat service since.\n\nAnti-tank guns are guns designed to destroy armored vehicles from defensive positions. In order to penetrate vehicle armor they fire smaller caliber shells from longer-barreled guns to achieve higher muzzle velocity than field artillery weapons, many of which are howitzers. The higher velocity, flatter trajectory ballistics provide terminal kinetic energy to penetrate the moving/static target's armor at a given range and contact's angle.;;;;;;;;;;;;;x
armor_brigade_website_desc;A tank is a tracked, armoured fighting vehicle designed for front-line combat which combines operational mobility and tactical offensive and defensive capabilities. Firepower is normally provided by a large-calibre main gun in a rotating turret and secondary machine guns, while heavy armour and all-terrain mobility provide protection for the tank and its crew, allowing it to perform all primary tasks required of armoured troops on the battlefield.;;;;;;;;;;;;;x
armored_car_brigade_website_desc;A military armored car is a type of armored fighting vehicle having wheels (from four to ten large, off-road wheels) instead of tracks, and usually light armor. Armored cars are typically less expensive and on roads have better speed and range than tracked military vehicles. They do however have less mobility as they have less off-road capabilities because of the higher ground pressure. They also have less obstacle climbing capabilities than tracked vehicles. Wheels are more vulnerable to enemy fire than tracks, they have a higher signature and in most cases less armor than comparable tracked vehicles. As a result they are not intended for heavy fighting. Their normal use is for reconnaissance, command, control, and communications, or for use against lightly armed insurgents or rioters. Only some are intended to enter close combat, often accompanying convoys to protect soft-skinned vehicles.\n\n<span style="color:gold"><strong>TIP:</strong> Fast moving and a bonus in most terrain types, armored cars are perfect for adding speed and movement bonuses to mobile and armored divisions!</span>;;;;;;;;;;;;;x
