# Unit Names;;;;;;;;;;;;;;x
infantry_brigade;Infantry Rgt.;;;;;;;;;;;;;x
infantry_bat;Infantry Btl.;;;;;;;;;;;;;x
artillery_brigade;Artillery ;;;;;;;;;;;;;x
battleship;Battleship;;;;;;;;;;;;;x
command_battleship;Command Battleship;;;;;;;;;;;;;x
command_battleship_short;CB;;;;;;;;;;;;;x
command_carrier;Command Carrier;;;;;;;;;x
command_carrier_short;CCV;;;;;;;;;x
armored_car_brigade;Armoured Car ;;;;;;;;;;;;;x
anti_tank_brigade;Anti-tank ;;;;;;;;;;;;;x
flying_bomb;Flying Bomb;;;;;;;;;;;;;x
armor_brigade;Armor ;;;;;;;;;;;;;x
anti_air_brigade;Anti-aircraft ;;;;;;;;;;;;;x
bergsjaeger_brigade;Mountain Infantry ;;;;;;;;;;;;;x
carrier;Carrier;;;;;;;;;;;;;x
cag;Carrier Air Group;;;;;;;;;;;;;x
cas;Close Air Support;;;;;;;;;;;;;x
destroyer;Destroyer(AI);;;;;;;;;;;;;x
destroyer_actual;Destroyer;;;;;;;;;;;;;x
light_carrier;Light Carrier;;;;;;;;;;;;;x
escort_carrier;Escort Carrier;;;;;;;;;;;;;x
cavalry_brigade;Cavalry ;;;;;;;;;;;;;x
engineer_brigade;Engineer ;;;;;;;;;;;;;x
airborne_engineer_bat;Airborne Engineer Bn;;;;;;;;;;;;;x
battlecruiser;Battlecruiser;;;;;;;;;;;;;x
flying_rocket;Flying Rocket;;;;;;;;;;;;;x
hq_brigade;HQ;;;;;;;;;;;;;x
heavy_cruiser;Heavy Cruiser;;;;;;;;;;;;;x
light_armor_brigade;Light Armor;;;;;;;;;;;;;x
light_armor_recon;Light Armor Recon;;;;;;;;;;;;;x
ss_light_armor_recon;SS Light Armor Recon;;;;;;;;;;;;;x
mechanized_brigade;Mechanised Infantry ;;;;;;;;;;;;;x
motorized_brigade;Motorised Infantry ;;;;;;;;;;;;;x
militia_brigade;Militia ;;;;;;;;;;;;;x
multi_role;Fighter-Bomber;;;;;;;;;;;;;x
light_cruiser;Light Cruiser;;;;;;;;;;;;;x
interceptor;Interceptor;;;;;;;;;;;;;x
heavy_armor_brigade;Heavy Armor ;;;;;;;;;;;;;x
garrison_brigade;Garrison ;;;;;;;;;;;;;x
GER_garrison_brigade;Festung-Troopen;;;;;;;;;;;;;x
naval_bomber;Naval Bomber;;;;;;;;;;;;;x
nuclear_submarine;Nuclear Submarine;;;;;;;;;;;;;x
electro_submarine;Electro Submarine;;;;;;;;;;;;;x
electro_submarine_short;E-SS;;;;;;;;;;;;;x
police_brigade;Military Police ;;;;;;;;;;;;;x
paratrooper_brigade;Paratrooper ;;;;;;;;;;;;;x
GER_paratrooper_brigade;Fallschirmjäger;;;;;;;;;;;;;x
rocket_artillery_brigade;Rocket Artillery ;;;;;;;;;;;;;x
sp_rct_artillery_brigade;SP Rocket Artillery ;;;;;;;;;;;;;x
submarine;Submarine;;;;;;;;;;;;;x
