### Destroyer ( DD ) ###;;;;;;;;;;;;;;x
CAN_destroyer_actual_0; Wickess-class ;;;;;;;;;;;;;x
CAN_destroyer_actual_1; C-class ;;;;;;;;;;;;;x
CAN_destroyer_actual_2; F-class ;;;;;;;;;;;;;x
CAN_destroyer_actual_3; G-class ;;;;;;;;;;;;;x
CAN_destroyer_actual_4; I-class ;;;;;;;;;;;;;x
CAN_destroyer_actual_5; Tribal-class ;;;;;;;;;;;;;x
CAN_destroyer_actual_8; V-class ;;;;;;;;;;;;;x
CAN_frigate_0;Hunt-class;;;;;;;;;;;;;x
CAN_frigate_1;Hunt-class;;;;;;;;;;;;;x
CAN_frigate_2;River-class;;;;;;;;;;;;;x
CAN_frigate_3;Loch-class;;;;;;;;;;;;;x
CAN_frigate_4;Bay-class;;;;;;;;;;;;;x
EOF;;;;;;;;;;;;;x
