FACTION_PROGRESS_DESC;$WHO$ controls §Y$PERCENT$%§W of the victory points. (Currently $OUR$ out of $TOTAL$).;$WHO$ contrôle §Y$PERCENT$%§W des points de victoire. (Actuellement $OUR$ du $TOTAL$).;$WHO$ kontrolliert §Y$PERCENT$%§W der Siegespunkte. (Momentan $OUR$ von $TOTAL$).;;$WHO$ controla el §Y$PERCENT$%§W de los puntos de victoria. (Actualmente $OUR$ de $TOTAL$).;;;;;;;;;x
CW_WARNALLIES;They are allied with $COUNTRY$.;Ils sont alliés avec $COUNTRY$.;Sie sind alliiert mit $COUNTRY$.;;Se han aliado con $COUNTRY$.;;;;;;;;;x
CW_WARNGUARANTEED;They are guaranteed by $COUNTRY$.;$COUNTRY$ se porte garant pour eux.;Sie haben eine Garantie von $COUNTRY$.;;Están garantizados por $COUNTRY$.;;;;;;;;;x
CW_WARNWARN;We have been warned by $COUNTRY$, so they may intervene.;Nous avons été avertis par $COUNTRY$ ils peuvent donc intervenir.;Wir wurden von $COUNTRY$ gewarnt, also können sie intervenieren.;;Hemos sido advertidos por $COUNTRY$ de que pueden intervenir.;;;;;;;;;x,,,,,,,,,,,,,
CW_WARNALLIES2;$ENEMY$ is allied with $COUNTRY$.;$ENEMY$ est allié avec $COUNTRY$.;$ENEMY$ ist verbündet mit $COUNTRY$.;;$ENEMY$ se ha aliado con $COUNTRY$.;;;;;;;;;x
CW_WARNGUARANTEED2;$ENEMY$ is guaranteed by $COUNTRY$.;$COUNTRY$ se porte garant pour $ENEMY$.;$ENEMY$ ist besitzt eine Garantie von $COUNTRY$.;;$ENEMY$ está garantizado por $COUNTRY$.;;;;;;;;;x
CW_WARNWARN2;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;$FRIEND$ a été averti par $COUNTRY$, ils peuvent donc intervenir.;$FRIEND$ wurde gewarnt von $COUNTRY$, also könnten sie intervenieren.;;$FRIEND$ ha sido advertido por $COUNTRY$ de que pueden intervenir.;;;;;;;;;x,,,,,,,,,,,,,,
CW_WARNOVERLORD2;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;$ENEMY$ est un état fantoche de $COUNTRY$ qui les protégera.;$ENEMY$ ist eine Marionette von $COUNTRY$, das sie schützen wird.;;$ENEMY$ es un títere de $COUNTRY$ que los protegerá.;;;;;;;;;x,,,,,,,,,,,,,,,
PW_I_DO;I do;Oui;Ja.;Tak;Yo sí;Sì.;Rendben.;Já ano.;;;;;;x
PW_RUN_AWAY;Rather not;Plutôt pas !;Lieber nicht;Nie;Más bien no;Scappa!;Inkább nem!;Radìji ne;;;;;;x
INDEPENDANT;Independent Nation;Nation indépendante;Unabhängiges Land;Niezale¿ne pañstwo;Nación independiente;Nazione indipendente;Független állam;Nezávislý národ;;;;;;x
VASSAL_SUBJECT;Puppet of $LORD$;Fantoche de $LORD$;Marionette von $LORD$;;Títere de $LORD$;;;;;;;;;x
axis;Axis;Axe;Achse;;El Eje;;;;;;;;;x
allies;Allies;Alliés;Alliierte;;Aliados;;;;;;;;;x
comintern;Comintern;Komintern;Komintern;;Comintern;;;;;;;;;x
