###########################################################;;;;;;;;;;;;;x
ITA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
ITA_destroyer_technology_1;UPN 1918 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_technology_2;UPN 1930 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_technology_3;UPN 1932 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_technology_4;UPN 1934 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_0;;;;;;;;;;;;;;x
ITA_destroyer_class_1;UPN 1936 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_2;UPN 1938 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_3;UPN 1940 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_4;UPN 1942 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_5;UPN 1944 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_6;UPN 1946 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_7;UPN 1948 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_destroyer_class_8;UPN 1950 Destroyer Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_0;;;;;;;;;;;;;;x
ITA_frigate_class_1;UPN 1939 Frigate Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_2;UPN 1940 Frigate Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_3;UPN 1942 Frigate Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_4;UPN 1944 Frigate Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_5;UPN 1946 Frigate Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_6;UPN 1948 Frigate Blueprint;;;;;;;;;;;;;x
ITA_frigate_class_7;UPN 1950 Frigate Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_0;;;;;;;;;;;;;;x
ITA_torpedo_boat_class_1;UPN 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_2;UPN 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_3;UPN 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_4;UPN 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_5;UPN 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_6;UPN 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_7;UPN 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_8;UPN 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_9;UPN 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_10;UPN 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_torpedo_boat_class_11;UPN 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_1;UPN 1918 MTB Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_2;UPN 1932 MTB Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_3;UPN 1934 MTB Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_4;UPN 1936 MTB Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_5;UPN 1938 MTB Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_6;UPN 1940 MTB Blueprint;;;;;;;;;;;;;x
ITA_motor_torpedo_boat_class_7;UPN 1942 MTB Blueprint;;;;;;;;;;;;;x
