SPEED_MODIFIER;Currently $PERC$ of default speed:;;Derzeitige $PERC$ der Standartgeschwindigkeit;;;;;;;;;;;x
SPEED_MODIFIER_COMBAT;In Combat: $PERC$;;Im Gefecht: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_FUEL;Insufficient fuel: $PERC$;;Unzureichender Betriebstoff: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_TERRAIN;Terrain: $PERC$;;Gelände: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_TRAIT;Leader Traits: $PERC$;;Anführer Fähigkeit: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_ADJACIENCY;River or strait passing: $PERC$;;Fluss oder Meerengen Überquerung: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_WEATHER;Weather: $PERC$;;Wetter: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_LOCAL_MOD;Local effect: $PERC$;;Lokaler Effekt: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_MOTORIZED_BONUS;Motorized bonus: $PERC$;;Motorisierungs Bonus: $PERC$;;;;;;;;;;;x
SPEED_MODIFIER_RETREATING;Retreating: $PERC$;;Rückzug: $PERC$;;;;;;;;;;;x
CANT_START_REASON_SELECT_BOOKMARK;Please select the §YHistorical Start Bookmark§! first.;;Bitte zuerst den §YHistorical Start Bookmark§! auswählen.;;;;;;;;;;;x
CANT_START_REASON_SELECT_CGM;Please select the §YCustom Game Bookmark§! first.;;Bitte zuerst den §YCustom Game Bookmark§! auswählen.;;;;;;;;;;;x
CANT_START_REASON_SELECT_SCENARIO;Please select the §YScenario§! first.;;Bitte zuerst das §YScenario§! auswählen.;;;;;;;;;;;x
CANT_START_REASON_SELECT_SAVE_GAME;Please select the §YSave Game§! first.;;Bitte zuerst den §YSave Game§! auswählen.;;;;;;;;;;;x
ICON_LEND_LEASE;§YLend Lease Request§!;;§YLend Lease Request§!;;;;;;;;;;;x
ICON_LEND_LEASE_OFFER;§YLend Lease Offer§!;;§YLend Lease Offer§!;;;;;;;;;;;x
LL_CONVOY_EFF_DESC;Lend lease convoy efficiency is §Y$PERC$%§!.;;Die Hilfskonvoi Effektivität liegt bei §Y$PERC$%§!;;;;;;;;;;;x
LL_CONVOY_EFF_LOW_DESC;The efficiency has dropped as the convoy was attacked. It will take about §Y$DAYS$§! days to fully recover it's efficiency.;;Die Effektivität ist abgesungen, da der Konvoi angegriffen wurde. Es wird §Y$DAYS$§! Tage dauern um die Effektivität zurückzuerlangen.;;;;;;;;;;;x
ORDER_DAY_TIME;Locally in $PROV$:;Örtlich in $PROV$;Örtlich in $PROV$;;;;;;;;;;;x
ORDER_DAY_TIME_DESC;Estimated local day time in §Y$PROV$§! when the mission begins is: §Y$TIME$§!;;Die ungefähre Tageszeit zu der die Mission beginnt ist: §Y$TIME$§!;;;;;;;;;;;x
EVTNAME18050;A new weapon!;;Eine neue Waffe!;;;;;;;;;;;x
