###########################################################;;;;;;;;;;;;;x
FRA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
FRA_destroyer_technology_1;STCN 1918 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_technology_2;STCN 1930 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_technology_3;STCN 1932 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_technology_4;STCN 1934 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_0;;;;;;;;;;;;;;x
FRA_destroyer_class_1;STCN 1936 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_2;STCN 1938 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_3;STCN 1940 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_4;STCN 1942 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_5;STCN 1944 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_6;STCN 1946 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_7;STCN 1948 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_destroyer_class_8;STCN 1950 Destroyer Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_0;;;;;;;;;;;;;;x
FRA_frigate_class_1;STCN 1939 Frigate Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_2;STCN 1940 Frigate Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_3;STCN 1942 Frigate Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_4;STCN 1944 Frigate Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_5;STCN 1946 Frigate Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_6;STCN 1948 Frigate Blueprint;;;;;;;;;;;;;x
FRA_frigate_class_7;STCN 1950 Frigate Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_0;;;;;;;;;;;;;;x
FRA_torpedo_boat_class_1;STCN 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_2;STCN 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_3;STCN 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_4;STCN 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_5;STCN 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_6;STCN 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_7;STCN 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_8;STCN 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_9;STCN 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_10;STCN 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_torpedo_boat_class_11;STCN 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_1;STCN 1918 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_2;STCN 1932 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_3;STCN 1934 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_4;STCN 1936 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_5;STCN 1938 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_6;STCN 1940 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_7;STCN 1942 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_8;STCN 1944 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_9;STCN 1946 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_10;STCN 1948 MTB Blueprint;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_class_11;STCN 1950 MTB Blueprint;;;;;;;;;;;;;x
FRA_light_naval_guns_0;;;;;;;;;;;;;;;x
FRA_light_naval_guns_1;130mm/40 Mle 1919, single open mounts;;;;;;;;;;;;;;x
FRA_light_naval_guns_2;138.6mm/40 Mle 1927, single shielded mounts;;;;;;;;;;;;;;x
FRA_light_naval_guns_3;138.6mm/40 Mle 1930, single shielded mounts;;;;;;;;;;;;;;x
FRA_light_naval_guns_4;130 mm/45 Mle 1932, twin shielded mounts;;;;;;;;;;;;;;x
FRA_light_naval_guns_5;138.6 mm/50 Mle 1927, Mle 1934 turrets;;;;;;;;;;;;;;x
FRA_light_naval_guns_6;138.6 mm/50 Mle 1929, Mle 1934 turrets;;;;;;;;;;;;;;x
FRA_light_naval_guns_7;138.6 mm/50 Mle 1934, Mle 1934 turrets;;;;;;;;;;;;;;x
FRA_light_naval_guns_8;138.6 mm/50 Mle 1939, Mle 1936 turrets;;;;;;;;;;;;;;x
FRA_light_naval_guns_9;138.6 mm/50 Mle 1942, Mle 1940 turrets;;;;;;;;;;;;;;x
FRA_light_naval_guns_10;138.6 mm/50 Mle 1944, Mle 1943 turrets;;;;;;;;;;;;;;x
FRA_light_naval_guns_11;138.6 mm/50 Mle 1947, Mle 1946 turrets;;;;;;;;;;;;;;x
FRA_light_warship_engine_0;;;;;;;;;;;;;;;x
FRA_light_warship_engine_1;31,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_2;38,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_3;50,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_4;58,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_5;74,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_6;92,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_7;120,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_8;130,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_9;140,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_10;145,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_11;150,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_engine_12;155,000 shp;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_0;;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_1;3-bladed Bronze, 3.8m / Semi-Balanced Steel 9m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_2;3-bladed Bronze, 3.9m / Semi-Balanced Steel 9.5m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_3;3-bladed Bronze, 3.9-4m / Semi-Balanced Steel 9.5m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_4;3-bladed Mn-Bronze, 4m / Semi-Balanced Steel 10m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_5;4-bladed Bronze, 4.2m / Semi-Balanced Steel 12m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_6;4-bladed Mn-Bronze, 4.4m / Semi-Balanced Steel 14m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_7;4-bladed Bronze, 4.6m / Semi-Balanced Steel 16m2;;;;;;;;;;;;;;x
FRA_light_warship_screws_rudder_optimisation_8;4-bladed Bronze, 4.8m / Semi-Balanced Steel 18m2;;;;;;;;;;;;;;x
FRA_hydrophone_dev_0;;;;;;;;;;;;;;;x
FRA_hydrophone_dev_1;Gnome / Boué;;;;;;;;;;;;;;x
FRA_hydrophone_dev_2;ACP;;;;;;;;;;;;;;x
FRA_hydrophone_dev_3;Type 90;;;;;;;;;;;;;;x
FRA_hydrophone_dev_4;Type 100;;;;;;;;;;;;;;x
FRA_hydrophone_dev_5;Germinal;;;;;;;;;;;;;;x
FRA_hydrophone_dev_6;ECS;;;;;;;;;;;;;;x
FRA_hydrophone_dev_7;Sonar 107;;;;;;;;;;;;;;x
FRA_hydrophone_dev_8;Sonar 107P;;;;;;;;;;;;;;x
FRA_hydrophone_dev_9;DUUX;;;;;;;;;;;;;;x
FRA_hydrophone_dev_10;DUUX 2;;;;;;;;;;;;;;x
