# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
##################### Communist Militia #################;;;;;;;;;;;;;;x
spa_Communist_militia_brigade_0;Milicia '30;;;;;;;;;;;;;x
spa_Communist_militia_brigade_1;Milicia '34;;;;;;;;;;;;;x
spa_Communist_militia_brigade_2;Milicia '36;;;;;;;;;;;;;x
spa_Communist_militia_brigade_3;Milicia '38;;;;;;;;;;;;;x
spa_Communist_militia_brigade_4;Milicia '40;;;;;;;;;;;;x
spa_Communist_militia_brigade_5;Milicia '42;;;;;;;;;;;;x
spa_Communist_militia_brigade_6;Milicia '44;;;;;;;;;;;;x
spa_Communist_militia_brigade_7;Milicia '46;;;;;;;;;;;;x
spa_Communist_militia_brigade_8;Milicia '48;;;;;;;;;;;;x
spa_Communist_militia_brigade_9;Milicia '50;;;;;;;;;;;;x
spa_Communist_militia_brigade_10;Milicia '52;;;;;;;;;;;;x
spa_Communist_militia_brigade_11;Milicia '54;;;;;;;;;;;;x
spa_Communist_militia_brigade_12;Milicia '56;;;;;;;;;;;;x
spa_Communist_militia_brigade_13;Milicia '58;;;;;;;;;;;;x
spa_Communist_militia_brigade_14;Milicia '60;;;;;;;;;;;;x
##################### Fascist Militia #################;;;;;;;;;;;;;;x
spa_fascist_militia_brigade_0;Milicia '30;;;;;;;;;;;;;x
spa_fascist_militia_brigade_1;Milicia '34;;;;;;;;;;;;;x
spa_fascist_militia_brigade_2;Milicia '36;;;;;;;;;;;;;x
spa_fascist_militia_brigade_3;Milicia '38;;;;;;;;;;;;;x
spa_fascist_militia_brigade_4;Milicia '40;;;;;;;;;;;;x
spa_fascist_militia_brigade_5;Milicia '42;;;;;;;;;;;;x
spa_fascist_militia_brigade_6;Milicia '44;;;;;;;;;;;;x
spa_fascist_militia_brigade_7;Milicia '46;;;;;;;;;;;;x
spa_fascist_militia_brigade_8;Milicia '48;;;;;;;;;;;;x
spa_fascist_militia_brigade_9;Milicia '50;;;;;;;;;;;;x
spa_fascist_militia_brigade_10;Milicia '52;;;;;;;;;;;;x
spa_fascist_militia_brigade_11;Milicia '54;;;;;;;;;;;;x
spa_fascist_militia_brigade_12;Milicia '56;;;;;;;;;;;;x
spa_fascist_militia_brigade_13;Milicia '58;;;;;;;;;;;;x
spa_fascist_militia_brigade_14;Milicia '60;;;;;;;;;;;;x
##################### Militia #################;;;;;;;;;;;;;;x
spa_militia_brigade_0;Milicia '30;;;;;;;;;;;;;x
spa_militia_brigade_1;Milicia '34;;;;;;;;;;;;;x
spa_militia_brigade_2;Milicia '36;;;;;;;;;;;;;x
spa_militia_brigade_3;Milicia '38;;;;;;;;;;;;;x
spa_militia_brigade_4;Milicia '40;;;;;;;;;;;;x
spa_militia_brigade_5;Milicia '42;;;;;;;;;;;;x
spa_militia_brigade_6;Milicia '44;;;;;;;;;;;;x
spa_militia_brigade_7;Milicia '46;;;;;;;;;;;;x
spa_militia_brigade_8;Milicia '48;;;;;;;;;;;;x
spa_militia_brigade_9;Milicia '50;;;;;;;;;;;;x
spa_militia_brigade_10;Milicia '52;;;;;;;;;;;;x
spa_militia_brigade_11;Milicia '54;;;;;;;;;;;;x
spa_militia_brigade_12;Milicia '56;;;;;;;;;;;;x
spa_militia_brigade_13;Milicia '58;;;;;;;;;;;;x
spa_militia_brigade_14;Milicia '60;;;;;;;;;;;;x
##################### Military Police #################;;;;;;;;;;;;;;x
spa_police_brigade_0;Guardia Civil '30;;;;;;;;;;;;x
spa_police_brigade_1;Guardia Civil '34;;;;;;;;;;;;x
spa_police_brigade_2;Guardia Civil '36;;;;;;;;;;;;x
spa_police_brigade_3;Guardia Civil '38;;;;;;;;;;;;x
spa_police_brigade_4;Guardia Civil '40;;;;;;;;;;;;x
spa_police_brigade_5;Guardia Civil '42;;;;;;;;;;;;x
spa_police_brigade_6;Guardia Civil '44;;;;;;;;;;;;x
spa_police_brigade_7;Guardia Civil '46;;;;;;;;;;;;x
spa_police_brigade_8;Guardia Civil '48;;;;;;;;;;;;x
spa_police_brigade_9;Guardia Civil '50;;;;;;;;;;;;x
spa_police_brigade_10;Guardia Civil '52;;;;;;;;;;;;x
spa_police_brigade_11;Guardia Civil '54;;;;;;;;;;;;x
spa_police_brigade_12;Guardia Civil '56;;;;;;;;;;;;x
spa_police_brigade_13;Guardia Civil '58;;;;;;;;;;;;x
spa_police_brigade_14;Guardia Civil '60;;;;;;;;;;;;x
##################### Cavalry #################;;;;;;;;;;;;;;x
spa_cavalry_brigade_0;Caballería '30;;;;;;;;;;;;x
spa_cavalry_brigade_1;Caballería '34;;;;;;;;;;;;x
spa_cavalry_brigade_2;Caballería '36;;;;;;;;;;;;x
spa_cavalry_brigade_3;Caballería '38;;;;;;;;;;;;x
spa_cavalry_brigade_4;Caballería '40;;;;;;;;;;;;x
spa_cavalry_brigade_5;Caballería '42;;;;;;;;;;;;x
spa_cavalry_brigade_6;Caballería '44;;;;;;;;;;;;x
spa_cavalry_brigade_7;Caballería '46;;;;;;;;;;;;x
spa_cavalry_brigade_8;Caballería '48;;;;;;;;;;;;x
spa_cavalry_brigade_9;Caballería '50;;;;;;;;;;;;x
spa_cavalry_brigade_10;Caballería '52;;;;;;;;;;;;x
spa_cavalry_brigade_11;Caballería '54;;;;;;;;;;;;x
