# Artillery Brigade
artillery_brigade.0 = { #1918 model I
	artillery_activation = 1
	infantry_guns = 1
	##at_aa_ammo = 1
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.1 = { #1934 model II
	artillery_activation = 2
	infantry_guns = 2
	##at_aa_ammo = 1
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.2 = { #1936 model III
	artillery_activation = 3
	infantry_guns = 3
	##at_aa_ammo = 1
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.3 = { #1938 model IV
	artillery_activation = 4
	infantry_guns = 4
	##at_aa_ammo = 2
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.4 = { #1940 model V
	artillery_activation = 5
	infantry_guns = 5
	##at_aa_ammo = 3
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.5 = { #1942 model VI
	artillery_activation = 6
	infantry_guns = 6
	##at_aa_ammo = 4
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.6 = { #1944 model VII
	artillery_activation = 7
	infantry_guns = 7
	##at_aa_ammo = 5
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
