province;red;green;blue;x;x
1;42;3;128;Porsangerhalvoya;x
2;84;6;1;Repvåg;x
3;126;9;129;Veldnes;x
4;168;12;2;Nordkynhalvoya;x
5;0;15;130;Skaidi;x
6;42;18;3;Borselv;x
7;84;21;131;Storfjordbotn;x
8;126;24;4;Båtsfjord;x
9;168;27;132;Tromso;x
10;0;30;5;Storslett;x
11;42;33;133;Alta;x
12;84;36;6;Lakselv;x
13;126;39;134;Rastegai'sa;x
14;168;42;7;Båteng;x
15;0;45;135;Kroknes;x
16;42;48;8;Målsnes;x
17;84;51;136;Skibotn;x
18;126;54;9;Altaelva;x
19;168;57;137;Jiesjávri;x
20;0;60;10;Skoganvarre;x
21;42;63;138;Finnmark;x
22;84;66;11;Polmak;x
23;126;69;139;Kirkenes;x
24;168;72;12;Senja;x
25;0;75;140;Nordkjosbotn;x
26;42;78;13;Mieron;x
27;84;81;141;Masi;x
28;126;84;14;Tenojoki;x
29;168;87;142;Laevvajåk;x
30;0;90;15;Ovedalsvárri;x
31;42;93;143;Bjorknes;x
32;84;96;16;Cyp-Navolok;x
33;126;99;144;Pecenga;x
34;168;102;17;Zapadnyj Kil'din;x
35;0;105;145;Teriberka;x
36;42;108;18;Tennevoll;x
37;84;111;146;Setermoen;x
38;126;114;19;Helligskogen;x
39;168;117;147;Rophi;x
40;0;120;20;Pöyrisjoki;x
41;42;123;148;Kárásjohka;x
42;84;126;21;Jårgastak;x
43;126;129;149;Partakko;x
44;168;132;22;Nikel';x
45;0;135;150;Titovka;x
46;42;138;23;Port Vladimir;x
47;84;141;151;Verrkne-teriberskoye;x
48;126;144;24;Dal'nie Zelency;x
49;168;147;152;Hinnoya;x
50;0;150;25;Aruba;x
51;42;153;153;Kaisepakte;x
52;84;156;26;Råstätno;x
53;126;159;154;Karesuando;x
54;168;162;27;Kietsimäjoki;x
55;0;165;155;Angeli;x
56;42;168;28;Inari;x
57;84;171;156;Sevettijärvi;x
58;126;174;29;Gora Kucintundra;x
59;168;177;157;Murmansk;x
60;0;180;30;Severomorsk;x
61;42;183;158;Perkh'yavr;x
62;84;186;31;Zahrebetnoe;x
63;126;189;159;Harlovka;x
64;168;192;32;Varzino;x
65;0;195;160;Narvik;x
66;42;198;33;Björkstugan;x
67;84;201;161;Kiruna;x
68;126;204;34;Nedre Soppero;x
69;168;207;162;Nunasvaara;x
70;0;210;35;Lisma;x
71;42;0;163;Mariscala;x
72;84;3;36;Patsoyoki;x
73;126;6;164;Verhnetulomskij;x
74;168;9;37;Tajbola;x
75;0;12;165;Olenegorsk;x
76;42;15;38;Lovozero;x
77;84;18;166;x;x
78;126;21;39;Iokanga;x
79;168;24;167;x;x
80;0;27;40;Bodo;x
81;42;30;168;Bognes;x
82;84;33;41;Alitåive;x
83;126;36;169;Sjaunja;x
84;168;39;42;Vittangi;x
85;0;42;170;Lumivaara;x
86;42;45;43;Tepasto;x
87;84;48;171;Pokka;x
88;126;51;44;Kuttura;x
89;168;54;172;Ivalo;x
90;0;57;45;Gora Ciltal'd;x
91;42;60;173;Kola;x
92;84;63;46;Laplandija;x
93;126;66;174;Revda;x
94;168;69;47;Polmos;x
95;0;72;175;x;x
96;42;75;48;x;x
97;84;78;176;x;x
98;126;81;49;Fauske;x
99;168;84;177;Ritsem;x
100;0;87;50;Suorva;x
101;42;90;178;Fjällåsen;x
102;84;93;51;Parakka;x
103;126;96;179;Muonio;x
104;168;99;52;Kittilä;x
105;0;102;180;Jeesiö;x
106;42;105;53;Saariselkä;x
107;84;108;181;Nota;x
108;126;111;54;Laplandskij Zapovednik;x
109;168;114;182;Moncegorsk;x
110;0;117;55;Kirovsk;x
111;42;120;183;Motka;x
112;84;123;56;Kolmozero;x
113;126;126;184;Kanevka;x
114;168;129;57;Gremiha;x
